CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-01-07,Guinea,4 January 2015,Confirmed,2471,344,1499
2015-01-07,Guinea,4 January 2015,Probable,282,Not reported,282
2015-01-07,Guinea,4 January 2015,Suspected,22,Not reported,0
2015-01-07,Guinea,4 January 2015,Total,2775,344,1781
2015-01-07,Liberia,2 January 2015,Confirmed,3118,70,Data not available.
2015-01-07,Liberia,2 January 2015,Probable,1816,Not reported,Data not available.
2015-01-07,Liberia,2 January 2015,Suspected,3223,Not reported,Data not available.
2015-01-07,Liberia,2 January 2015,Total,8157,70,3496
2015-01-07,Sierra Leone,4 January 2015,Confirmed,7602,900,2577
2015-01-07,Sierra Leone,4 January 2015,Probable,287,Not reported,208
2015-01-07,Sierra Leone,4 January 2015,Suspected,1891,Not reported,158
2015-01-07,Sierra Leone,4 January 2015,Total,9780,900,2943
2015-01-07,All countries,,Total,20712,1314,8220
2015-01-08,Guinea,,5 January 2015,Confirmed,2477,1504
2015-01-08,Guinea,,5 January 2015,Probable,282,282
2015-01-08,Guinea,,5 January 2015,Suspected,17,Not available
2015-01-08,Guinea,,5 January 2015,Total,2776,1786
2015-01-08,Liberia,,3 January 2015,Confirmed,3118,Not available
2015-01-08,Liberia,,3 January 2015,Probable,1816,Not available
2015-01-08,Liberia,,3 January 2015,Suspected,3232,Not available
2015-01-08,Liberia,,3 January 2015,Total,8166,3496
2015-01-08,Sierra Leone,,6 January 2015,Confirmed,7759,2611
2015-01-08,Sierra Leone,,6 January 2015,Probable,287,208
2015-01-08,Sierra Leone,,6 January 2015,Suspected,1984,158
2015-01-08,Sierra Leone,,6 January 2015,Total,10030,2977
2015-01-08,All countries,,,Total,20972,8259
2015-01-09,Guinea,,7 January 2015,Confirmed,2493,1515
2015-01-09,Guinea,,7 January 2015,Probable,282,282
2015-01-09,Guinea,,7 January 2015,Suspected,18,Not available
2015-01-09,Guinea,,7 January 2015,Total,2793,1797
2015-01-09,Liberia,,6 January 2015,Confirmed,3123,Not available
2015-01-09,Liberia,,6 January 2015,Probable,1831,Not available
2015-01-09,Liberia,,6 January 2015,Suspected,3309,Not available
2015-01-09,Liberia,,6 January 2015,Total,8263,3515
2015-01-09,Sierra Leone,,6 January 2015,Confirmed,7759,2611
2015-01-09,Sierra Leone,,6 January 2015,Probable,287,208
2015-01-09,Sierra Leone,,6 January 2015,Suspected,1984,158
2015-01-09,Sierra Leone,,6 January 2015,Total,10030,2977
2015-01-09,All countries,,,Total,21086,8289
2015-01-12,Guinea,,10 January 2015,Confirmed,2508,1523
2015-01-12,Guinea,,10 January 2015,Probable,284,284
2015-01-12,Guinea,,10 January 2015,Suspected,7,Not available
2015-01-12,Guinea,,10 January 2015,Total,2799,1807
2015-01-12,Liberia,,7 January 2015,Confirmed,3123,Not available
2015-01-12,Liberia,,7 January 2015,Probable,1833,Not available
2015-01-12,Liberia,,7 January 2015,Suspected,3322,Not available
2015-01-12,Liberia,,7 January 2015,Total,8278,3515
2015-01-12,Sierra Leone,,10 January 2015,Confirmed,7766,2683
2015-01-12,Sierra Leone,,10 January 2015,Probable,287,208
2015-01-12,Sierra Leone,,10 January 2015,Suspected,2041,158
2015-01-12,Sierra Leone,,10 January 2015,Total,10094,3049
2015-01-12,All countries,,,Total,21171,8371
2015-01-13,Guinea,,10 January 2015,Confirmed,2508,1523
2015-01-13,Guinea,,10 January 2015,Probable,284,284
2015-01-13,Guinea,,10 January 2015,Suspected,7,Not available
2015-01-13,Guinea,,10 January 2015,Total,2799,1807
2015-01-13,Liberia,,7 January 2015,Confirmed,3123,Not available
2015-01-13,Liberia,,7 January 2015,Probable,1833,Not available
2015-01-13,Liberia,,7 January 2015,Suspected,3322,Not available
2015-01-13,Liberia,,7 January 2015,Total,8278,3515
2015-01-13,Sierra Leone,,10 January 2015,Confirmed,7766,2683
2015-01-13,Sierra Leone,,10 January 2015,Probable,287,208
2015-01-13,Sierra Leone,,10 January 2015,Suspected,2041,158
2015-01-13,Sierra Leone,,10 January 2015,Total,10094,3049
2015-01-13,All countries,,,Total,21171,8371
2015-01-14,Guinea,11 January 2015,Confirmed,2514,230,1530
2015-01-14,Guinea,11 January 2015,Probable,284,Not reported,284
2015-01-14,Guinea,11 January 2015,Suspected,8,Not reported,Data not available.
2015-01-14,Guinea,11 January 2015,Total,2806,230,1814
2015-01-14,Liberia,11 January 2015,Confirmed,3127,48,Data not available.
2015-01-14,Liberia,11 January 2015,Probable,1839,Not reported,Data not available.
