CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-10-07,Liberia,20 September 2015,Confirmed,6,0,2
2015-10-07,Liberia,20 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-10-07,Liberia,20 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-10-07,Liberia,20 September 2015,Total,6,0,2
2015-10-07,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-10-07,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-10-07,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-10-07,Liberia,9 May 2015,Total,10666,,4806
2015-10-07,Sierra Leone,4 October 2015,Confirmed,8704,0,3589
2015-10-07,Sierra Leone,4 October 2015,Probable,287,Not reported.,208
2015-10-07,Sierra Leone,4 October 2015,Suspected,4954,Not reported.,158
2015-10-07,Sierra Leone,4 October 2015,Total,13945,0,3955
2015-10-07,All countries,,Confirmed,15205,6,Data not available.
2015-10-07,All countries,,Probable,2619,Not reported.,Data not available.
2015-10-07,All countries,,Suspected,10597,Not reported.,Data not available.
2015-10-07,All countries,,Total,28421,6,11297
2015-10-08,Guinea,,6 October 2015,Confirmed,3344,2081
2015-10-08,Guinea,,6 October 2015,Probable,453,453
2015-10-08,Guinea,,6 October 2015,Suspected,2,Not available
2015-10-08,Guinea,,6 October 2015,Total,3799,2534
2015-10-08,Liberia,,20 September 2015,Confirmed,6,2
2015-10-08,Liberia,,20 September 2015,Probable,0,Not available
2015-10-08,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-08,Liberia,,20 September 2015,Total,6,2
2015-10-08,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-08,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-08,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-08,Liberia,,9 May 2015,Total,10666,4806
2015-10-08,Sierra Leone,,6 October 2015,Confirmed,8704,3589
2015-10-08,Sierra Leone,,6 October 2015,Probable,287,208
2015-10-08,Sierra Leone,,6 October 2015,Suspected,4965,158
2015-10-08,Sierra Leone,,6 October 2015,Total,13956,3955
2015-10-08,All countries,,,Confirmed,15205,Not available
2015-10-08,All countries,,,Probable,2619,Not available
2015-10-08,All countries,,,Suspected,10603,Not available
2015-10-08,All countries,,,Total,28427,11297
2015-10-09,Guinea,,7 October 2015,Confirmed,3344,2081
2015-10-09,Guinea,,7 October 2015,Probable,453,453
2015-10-09,Guinea,,7 October 2015,Suspected,3,Not available
2015-10-09,Guinea,,7 October 2015,Total,3800,2534
2015-10-09,Liberia,,20 September 2015,Confirmed,6,2
2015-10-09,Liberia,,20 September 2015,Probable,0,Not available
2015-10-09,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-09,Liberia,,20 September 2015,Total,6,2
2015-10-09,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-09,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-09,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-09,Liberia,,9 May 2015,Total,10666,4806
2015-10-09,Sierra Leone,,7 October 2015,Confirmed,8704,3589
2015-10-09,Sierra Leone,,7 October 2015,Probable,287,208
2015-10-09,Sierra Leone,,7 October 2015,Suspected,4966,158
2015-10-09,Sierra Leone,,7 October 2015,Total,13957,3955
2015-10-09,All countries,,,Confirmed,15205,Not available
2015-10-09,All countries,,,Probable,2619,Not available
2015-10-09,All countries,,,Suspected,10605,Not available
2015-10-09,All countries,,,Total,28429,11297
2015-10-12,Guinea,,10 October 2015,Confirmed,3344,2081
2015-10-12,Guinea,,10 October 2015,Probable,453,453
2015-10-12,Guinea,,10 October 2015,Suspected,1,Not available
2015-10-12,Guinea,,10 October 2015,Total,3798,2534
2015-10-12,Liberia,,20 September 2015,Confirmed,6,2
2015-10-12,Liberia,,20 September 2015,Probable,0,Not available
2015-10-12,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-12,Liberia,,20 September 2015,Total,6,2
2015-10-12,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-12,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-12,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-12,Liberia,,9 May 2015,Total,10666,4806
2015-10-12,Sierra Leone,,10 October 2015,Confirmed,8704,3589
2015-10-12,Sierra Leone,,10 October 2015,Probable,287,208
2015-10-12,Sierra Leone,,10 October 2015,Suspected,4987,158
2015-10-12,Sierra Leone,,10 October 2015,Total,13978,3955
2015-10-12,All countries,,,Confirmed,15205,Not available
2015-10-12,All countries,,,Probable,2619,Not available
2015-10-12,All countries,,,Suspected,10624,Not available
2015-10-12,All countries,,,Total,28448,11297
2015-10-13,Guinea,,11 October 2015,Confirmed,3344,2081
2015-10-13,Guinea,,11 October 2015,Probable,453,453
2015-10-13,Guinea,,11 October 2015,Suspected,3,Not available
2015-10-13,Guinea,,11 October 2015,Total,3800,2534
2015-10-13,Liberia,,20 September 2015,Confirmed,6,2
2015-10-13,Liberia,,20 September 2015,Probable,0,Not available
2015-10-13,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-13,Liberia,,20 September 2015,Total,6,2
2015-10-13,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-13,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-13,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-13,Liberia,,9 May 2015,Total,10666,4806
2015-10-13,Sierra Leone,,11 October 2015,Confirmed,8704,3589
2015-10-13,Sierra Leone,,11 October 2015,Probable,287,208
2015-10-13,Sierra Leone,,11 October 2015,Suspected,4991,158
2015-10-13,Sierra Leone,,11 October 2015,Total,13982,3955
2015-10-13,All countries,,,Confirmed,15205,Not available
2015-10-13,All countries,,,Probable,2619,Not available
2015-10-13,All countries,,,Suspected,10630,Not available
2015-10-13,All countries,,,Total,28454,11297
2015-10-14,Guinea,11 October 2015,Confirmed,3344,4,2081
2015-10-14,Guinea,11 October 2015,Probable,453,Not reported.,453
2015-10-14,Guinea,11 October 2015,Suspected,3,Not reported.,Data not available.
2015-10-14,Guinea,11 October 2015,Total,3800,4,2534
2015-10-14,Liberia,20 September 2015,Confirmed,6,0,2
2015-10-14,Liberia,20 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-10-14,Liberia,20 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-10-14,Liberia,20 September 2015,Total,6,0,2
2015-10-14,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-10-14,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-10-14,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-10-14,Liberia,9 May 2015,Total,10666,,4806
2015-10-14,Sierra Leone,11 October 2015,Confirmed,8704,0,3589
2015-10-14,Sierra Leone,11 October 2015,Probable,287,Not reported.,208
2015-10-14,Sierra Leone,11 October 2015,Suspected,4991,Not reported.,158
2015-10-14,Sierra Leone,11 October 2015,Total,13982,0,3955
2015-10-14,All countries,,Confirmed,15205,4,Data not available.
2015-10-14,All countries,,Probable,2619,Not reported.,Data not available.
2015-10-14,All countries,,Suspected,10630,Not reported.,Data not available.
2015-10-14,All countries,,Total,28454,4,11297
2015-10-15,Guinea,,13 October 2015,Confirmed,3345,2081
2015-10-15,Guinea,,13 October 2015,Probable,453,453
2015-10-15,Guinea,,13 October 2015,Suspected,4,Not available
2015-10-15,Guinea,,13 October 2015,Total,3802,2534
2015-10-15,Liberia,,20 September 2015,Confirmed,6,2
2015-10-15,Liberia,,20 September 2015,Probable,0,Not available
2015-10-15,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-15,Liberia,,20 September 2015,Total,6,2
2015-10-15,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-15,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-15,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-15,Liberia,,9 May 2015,Total,10666,4806
2015-10-15,Sierra Leone,,13 October 2015,Confirmed,8704,3589
2015-10-15,Sierra Leone,,13 October 2015,Probable,287,208
2015-10-15,Sierra Leone,,13 October 2015,Suspected,5001,158
2015-10-15,Sierra Leone,,13 October 2015,Total,13992,3955
2015-10-15,All countries,,,Confirmed,15206,Not available
2015-10-15,All countries,,,Probable,2619,Not available
2015-10-15,All countries,,,Suspected,10641,Not available
2015-10-15,All countries,,,Total,28466,11297
2015-10-16,Guinea,,14 October 2015,Confirmed,3346,2082
2015-10-16,Guinea,,14 October 2015,Probable,453,453
2015-10-16,Guinea,,14 October 2015,Suspected,5,Not available
2015-10-16,Guinea,,14 October 2015,Total,3804,2535
2015-10-16,Liberia,,20 September 2015,Confirmed,6,2
2015-10-16,Liberia,,20 September 2015,Probable,0,Not available
2015-10-16,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-16,Liberia,,20 September 2015,Total,6,2
2015-10-16,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-16,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-16,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-16,Liberia,,9 May 2015,Total,10666,4806
2015-10-16,Sierra Leone,,14 October 2015,Confirmed,8704,3589
2015-10-16,Sierra Leone,,14 October 2015,Probable,287,208
2015-10-16,Sierra Leone,,14 October 2015,Suspected,5001,158
2015-10-16,Sierra Leone,,14 October 2015,Total,13992,3955
2015-10-16,All countries,,,Confirmed,15207,Not available
2015-10-16,All countries,,,Probable,2619,Not available
2015-10-16,All countries,,,Suspected,10642,Not available
2015-10-16,All countries,,,Total,28468,11298
2015-10-19,Guinea,,17 October 2015,Confirmed,3347,2082
2015-10-19,Guinea,,17 October 2015,Probable,453,453
2015-10-19,Guinea,,17 October 2015,Suspected,6,Not available
2015-10-19,Guinea,,17 October 2015,Total,3806,2535
2015-10-19,Liberia,,20 September 2015,Confirmed,6,2
2015-10-19,Liberia,,20 September 2015,Probable,0,Not available
2015-10-19,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-19,Liberia,,20 September 2015,Total,6,2
2015-10-19,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-19,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-19,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-19,Liberia,,9 May 2015,Total,10666,4806
2015-10-19,Sierra Leone,,17 October 2015,Confirmed,8704,3589
2015-10-19,Sierra Leone,,17 October 2015,Probable,287,208
2015-10-19,Sierra Leone,,17 October 2015,Suspected,5008,158
2015-10-19,Sierra Leone,,17 October 2015,Total,13999,3955
2015-10-19,All countries,,,Confirmed,15208,Not available
2015-10-19,All countries,,,Probable,2619,Not available
2015-10-19,All countries,,,Suspected,10650,Not available
2015-10-19,All countries,,,Total,28477,11298
2015-10-20,Guinea,,18 October 2015,Confirmed,3347,2082
2015-10-20,Guinea,,18 October 2015,Probable,453,453
2015-10-20,Guinea,,18 October 2015,Suspected,3,Not available
2015-10-20,Guinea,,18 October 2015,Total,3803,2535
2015-10-20,Liberia,,20 September 2015,Confirmed,6,2
2015-10-20,Liberia,,20 September 2015,Probable,0,Not available
2015-10-20,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-20,Liberia,,20 September 2015,Total,6,2
2015-10-20,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-20,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-20,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-20,Liberia,,9 May 2015,Total,10666,4806
2015-10-20,Sierra Leone,,18 October 2015,Confirmed,8704,3589
2015-10-20,Sierra Leone,,18 October 2015,Probable,287,208
2015-10-20,Sierra Leone,,18 October 2015,Suspected,5010,158
2015-10-20,Sierra Leone,,18 October 2015,Total,14001,3955
2015-10-20,All countries,,,Confirmed,15208,Not available
2015-10-20,All countries,,,Probable,2619,Not available
2015-10-20,All countries,,,Suspected,10649,Not available
2015-10-20,All countries,,,Total,28476,11298
2015-10-21,Guinea,18 October 2015,Confirmed,3347,3,2082
2015-10-21,Guinea,18 October 2015,Probable,453,Not reported.,453
2015-10-21,Guinea,18 October 2015,Suspected,3,Not reported.,Data not available.
2015-10-21,Guinea,18 October 2015,Total,3803,3,2535
2015-10-21,Liberia,20 September 2015,Confirmed,6,0,2
2015-10-21,Liberia,20 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-10-21,Liberia,20 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-10-21,Liberia,20 September 2015,Total,6,0,2
2015-10-21,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-10-21,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-10-21,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-10-21,Liberia,9 May 2015,Total,10666,,4806
2015-10-21,Sierra Leone,18 October 2015,Confirmed,8704,0,3589
2015-10-21,Sierra Leone,18 October 2015,Probable,287,Not reported.,208
2015-10-21,Sierra Leone,18 October 2015,Suspected,5010,Not reported.,158
2015-10-21,Sierra Leone,18 October 2015,Total,14001,0,3955
2015-10-21,All countries,,Confirmed,15208,3,Data not available.
2015-10-21,All countries,,Probable,2619,Not reported.,Data not available.
2015-10-21,All countries,,Suspected,10649,Not reported.,Data not available.
2015-10-21,All countries,,Total,28476,3,11298
2015-10-22,Guinea,,20 October 2015,Confirmed,3347,2082
2015-10-22,Guinea,,20 October 2015,Probable,453,453
2015-10-22,Guinea,,20 October 2015,Suspected,1,Not available
2015-10-22,Guinea,,20 October 2015,Total,3801,2535
2015-10-22,Liberia,,20 September 2015,Confirmed,6,2
2015-10-22,Liberia,,20 September 2015,Probable,0,Not available
2015-10-22,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-22,Liberia,,20 September 2015,Total,6,2
2015-10-22,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-22,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-22,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-22,Liberia,,9 May 2015,Total,10666,4806
2015-10-22,Sierra Leone,,20 October 2015,Confirmed,8704,3589
2015-10-22,Sierra Leone,,20 October 2015,Probable,287,208
2015-10-22,Sierra Leone,,20 October 2015,Suspected,5040,158
2015-10-22,Sierra Leone,,20 October 2015,Total,14031,3955
2015-10-22,All countries,,,Confirmed,15208,Not available
2015-10-22,All countries,,,Probable,2619,Not available
2015-10-22,All countries,,,Suspected,10677,Not available
2015-10-22,All countries,,,Total,28504,11298
2015-10-23,Guinea,,21 October 2015,Confirmed,3347,2082
2015-10-23,Guinea,,21 October 2015,Probable,453,453
2015-10-23,Guinea,,21 October 2015,Suspected,1,Not available
2015-10-23,Guinea,,21 October 2015,Total,3801,2535
2015-10-23,Liberia,,20 September 2015,Confirmed,6,2
2015-10-23,Liberia,,20 September 2015,Probable,0,Not available
2015-10-23,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-23,Liberia,,20 September 2015,Total,6,2
2015-10-23,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-23,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-23,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-23,Liberia,,9 May 2015,Total,10666,4806
2015-10-23,Sierra Leone,,21 October 2015,Confirmed,8704,3589
2015-10-23,Sierra Leone,,21 October 2015,Probable,287,208
2015-10-23,Sierra Leone,,21 October 2015,Suspected,5047,158
2015-10-23,Sierra Leone,,21 October 2015,Total,14038,3955
2015-10-23,All countries,,,Confirmed,15208,Not available
2015-10-23,All countries,,,Probable,2619,Not available
2015-10-23,All countries,,,Suspected,10684,Not available
2015-10-23,All countries,,,Total,28511,11298
2015-10-26,Guinea,,24 October 2015,Confirmed,3350,2082
2015-10-26,Guinea,,24 October 2015,Probable,453,453
2015-10-26,Guinea,,24 October 2015,Suspected,1,Not available
2015-10-26,Guinea,,24 October 2015,Total,3804,2535
2015-10-26,Liberia,,20 September 2015,Confirmed,6,2
2015-10-26,Liberia,,20 September 2015,Probable,Not available,Not available
2015-10-26,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-26,Liberia,,20 September 2015,Total,6,2
2015-10-26,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-26,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-26,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-26,Liberia,,9 May 2015,Total,10666,4806
2015-10-26,Sierra Leone,,24 October 2015,Confirmed,8704,3589
2015-10-26,Sierra Leone,,24 October 2015,Probable,287,208
2015-10-26,Sierra Leone,,24 October 2015,Suspected,5061,158
2015-10-26,Sierra Leone,,24 October 2015,Total,14052,3955
2015-10-26,All countries,,,Confirmed,15211,Not available
2015-10-26,All countries,,,Probable,2619,Not available
2015-10-26,All countries,,,Suspected,10698,Not available
2015-10-26,All countries,,,Total,28528,11298
2015-10-27,Guinea,,25 October 2015,Confirmed,3350,2082
2015-10-27,Guinea,,25 October 2015,Probable,453,453
2015-10-27,Guinea,,25 October 2015,Suspected,3,Not available
2015-10-27,Guinea,,25 October 2015,Total,3806,2535
2015-10-27,Liberia,,20 September 2015,Confirmed,6,2
2015-10-27,Liberia,,20 September 2015,Probable,Not available,Not available
2015-10-27,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-27,Liberia,,20 September 2015,Total,6,2
2015-10-27,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-27,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-27,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-27,Liberia,,9 May 2015,Total,10666,4806
2015-10-27,Sierra Leone,,25 October 2015,Confirmed,8704,3589
2015-10-27,Sierra Leone,,25 October 2015,Probable,287,208
2015-10-27,Sierra Leone,,25 October 2015,Suspected,5070,158
2015-10-27,Sierra Leone,,25 October 2015,Total,14061,3955
2015-10-27,All countries,,,Confirmed,15211,Not available
2015-10-27,All countries,,,Probable,2619,Not available
2015-10-27,All countries,,,Suspected,10709,Not available
2015-10-27,All countries,,,Total,28539,11298
2015-10-28,Guinea,25 October 2015,Confirmed,3350,6,2082
2015-10-28,Guinea,25 October 2015,Probable,453,Not reported.,453
2015-10-28,Guinea,25 October 2015,Suspected,3,Not reported.,Data not available.
2015-10-28,Guinea,25 October 2015,Total,3806,6,2535
2015-10-28,Liberia,20 September 2015,Confirmed,6,0,2
2015-10-28,Liberia,20 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-10-28,Liberia,20 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-10-28,Liberia,20 September 2015,Total,6,0,2
2015-10-28,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-10-28,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-10-28,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-10-28,Liberia,9 May 2015,Total,10666,,4806
2015-10-28,Sierra Leone,25 October 2015,Confirmed,8704,0,3589
2015-10-28,Sierra Leone,25 October 2015,Probable,287,Not reported.,208
2015-10-28,Sierra Leone,25 October 2015,Suspected,5070,Not reported.,158
2015-10-28,Sierra Leone,25 October 2015,Total,14061,0,3955
2015-10-28,All countries,,Confirmed,15211,6,Data not available.
2015-10-28,All countries,,Probable,2619,Not reported.,Data not available.
2015-10-28,All countries,,Suspected,10709,Not reported.,Data not available.
2015-10-28,All countries,,Total,28539,6,11298
2015-10-29,Guinea,,27 October 2015,Confirmed,3350,2083
2015-10-29,Guinea,,27 October 2015,Probable,453,453
2015-10-29,Guinea,,27 October 2015,Suspected,5,Not available
2015-10-29,Guinea,,27 October 2015,Total,3808,2536
2015-10-29,Liberia,,20 September 2015,Confirmed,6,2
2015-10-29,Liberia,,20 September 2015,Probable,Not available,Not available
2015-10-29,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-29,Liberia,,20 September 2015,Total,6,2
2015-10-29,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-29,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-29,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-29,Liberia,,9 May 2015,Total,10666,4806
2015-10-29,Sierra Leone,,27 October 2015,Confirmed,8704,3589
2015-10-29,Sierra Leone,,27 October 2015,Probable,287,208
2015-10-29,Sierra Leone,,27 October 2015,Suspected,5075,158
2015-10-29,Sierra Leone,,27 October 2015,Total,14066,3955
2015-10-29,All countries,,,Confirmed,15211,Not available
2015-10-29,All countries,,,Probable,2619,Not available
2015-10-29,All countries,,,Suspected,10716,Not available
2015-10-29,All countries,,,Total,28546,11299
2015-10-30,Guinea,,28 October 2015,Confirmed,3350,2083
2015-10-30,Guinea,,28 October 2015,Probable,453,453
2015-10-30,Guinea,,28 October 2015,Suspected,5,Not available
2015-10-30,Guinea,,28 October 2015,Total,3808,2536
2015-10-30,Liberia,,20 September 2015,Confirmed,6,2
2015-10-30,Liberia,,20 September 2015,Probable,Not available,Not available
2015-10-30,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-10-30,Liberia,,20 September 2015,Total,6,2
2015-10-30,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-10-30,Liberia,,9 May 2015,Probable,1879,Not available
2015-10-30,Liberia,,9 May 2015,Suspected,5636,Not available
2015-10-30,Liberia,,9 May 2015,Total,10666,4806
2015-10-30,Sierra Leone,,28 October 2015,Confirmed,8704,3589
2015-10-30,Sierra Leone,,28 October 2015,Probable,287,208
2015-10-30,Sierra Leone,,28 October 2015,Suspected,5076,158
2015-10-30,Sierra Leone,,28 October 2015,Total,14067,3955
2015-10-30,All countries,,,Confirmed,15211,Not available
2015-10-30,All countries,,,Probable,2619,Not available
2015-10-30,All countries,,,Suspected,10717,Not available
2015-10-30,All countries,,,Total,28547,11299
2015-11-02,Guinea,,31 October 2015,Confirmed,3351,2083
2015-11-02,Guinea,,31 October 2015,Probable,453,453
2015-11-02,Guinea,,31 October 2015,Suspected,4,Not available
2015-11-02,Guinea,,31 October 2015,Total,3808,2536
2015-11-02,Liberia,,20 September 2015,Confirmed,6,2
2015-11-02,Liberia,,20 September 2015,Probable,Not available,Not available
2015-11-02,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-11-02,Liberia,,20 September 2015,Total,6,2
2015-11-02,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-11-02,Liberia,,9 May 2015,Probable,1879,Not available
2015-11-02,Liberia,,9 May 2015,Suspected,5636,Not available
2015-11-02,Liberia,,9 May 2015,Total,10666,4806
2015-11-02,Sierra Leone,,31 October 2015,Confirmed,8704,3589
2015-11-02,Sierra Leone,,31 October 2015,Probable,287,208
2015-11-02,Sierra Leone,,31 October 2015,Suspected,5087,158
2015-11-02,Sierra Leone,,31 October 2015,Total,14078,3955
2015-11-02,All countries,,,Confirmed,15212,Not available
2015-11-02,All countries,,,Probable,2619,Not available
2015-11-02,All countries,,,Suspected,10727,Not available
2015-11-02,All countries,,,Total,28558,11299
2015-11-03,Guinea,,1 November 2015,Confirmed,3351,2083
2015-11-03,Guinea,,1 November 2015,Probable,453,453
2015-11-03,Guinea,,1 November 2015,Suspected,6,Not available
2015-11-03,Guinea,,1 November 2015,Total,3810,2536
2015-11-03,Liberia,,20 September 2015,Confirmed,6,2
2015-11-03,Liberia,,20 September 2015,Probable,Not available,Not available
2015-11-03,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-11-03,Liberia,,20 September 2015,Total,6,2
2015-11-03,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-11-03,Liberia,,9 May 2015,Probable,1879,Not available
2015-11-03,Liberia,,9 May 2015,Suspected,5636,Not available
2015-11-03,Liberia,,9 May 2015,Total,10666,4806
2015-11-03,Sierra Leone,,1 November 2015,Confirmed,8704,3589
2015-11-03,Sierra Leone,,1 November 2015,Probable,287,208
2015-11-03,Sierra Leone,,1 November 2015,Suspected,5098,158
2015-11-03,Sierra Leone,,1 November 2015,Total,14089,3955
2015-11-03,All countries,,,Confirmed,15212,Not available
2015-11-03,All countries,,,Probable,2619,Not available
2015-11-03,All countries,,,Suspected,10740,Not available
2015-11-03,All countries,,,Total,28571,11299
2015-11-04,Guinea,1 November 2015,Confirmed,3351,7,2083
2015-11-04,Guinea,1 November 2015,Probable,453,Not reported.,453
2015-11-04,Guinea,1 November 2015,Suspected,6,Not reported.,Data not available.
2015-11-04,Guinea,1 November 2015,Total,3810,7,2536
2015-11-04,Liberia,20 September 2015,Confirmed,6,0,2
2015-11-04,Liberia,20 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-11-04,Liberia,20 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-11-04,Liberia,20 September 2015,Total,6,0,2
2015-11-04,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-11-04,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-11-04,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-11-04,Liberia,9 May 2015,Total,10666,,4806
2015-11-04,Sierra Leone,1 November 2015,Confirmed,8704,0,3589
2015-11-04,Sierra Leone,1 November 2015,Probable,287,Not reported.,208
2015-11-04,Sierra Leone,1 November 2015,Suspected,5098,Not reported.,158
2015-11-04,Sierra Leone,1 November 2015,Total,14089,0,3955
2015-11-04,All countries,,Confirmed,15212,7,Data not available.
2015-11-04,All countries,,Probable,2619,Not reported.,Data not available.
2015-11-04,All countries,,Suspected,10740,Not reported.,Data not available.
2015-11-04,All countries,,Total,28571,7,11299
2015-11-05,Guinea,,3 November 2015,Confirmed,3351,2083
2015-11-05,Guinea,,3 November 2015,Probable,453,453
2015-11-05,Guinea,,3 November 2015,Suspected,1,Not available
2015-11-05,Guinea,,3 November 2015,Total,3805,2536
2015-11-05,Liberia,,20 September 2015,Confirmed,6,2
2015-11-05,Liberia,,20 September 2015,Probable,Not available,Not available
2015-11-05,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-11-05,Liberia,,20 September 2015,Total,6,2
2015-11-05,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-11-05,Liberia,,9 May 2015,Probable,1879,Not available
2015-11-05,Liberia,,9 May 2015,Suspected,5636,Not available
2015-11-05,Liberia,,9 May 2015,Total,10666,4806
2015-11-05,Sierra Leone,,3 November 2015,Confirmed,8704,3589
2015-11-05,Sierra Leone,,3 November 2015,Probable,287,208
2015-11-05,Sierra Leone,,3 November 2015,Suspected,5113,158
2015-11-05,Sierra Leone,,3 November 2015,Total,14104,3955
2015-11-05,All countries,,,Confirmed,15212,Not available
2015-11-05,All countries,,,Probable,2619,Not available
2015-11-05,All countries,,,Suspected,10750,Not available
2015-11-05,All countries,,,Total,28581,11299
2015-11-06,Guinea,,4 November 2015,Confirmed,3351,2083
2015-11-06,Guinea,,4 November 2015,Probable,453,453
2015-11-06,Guinea,,4 November 2015,Suspected,1,Not available
2015-11-06,Guinea,,4 November 2015,Total,3805,2536
2015-11-06,Liberia,,20 September 2015,Confirmed,6,2
2015-11-06,Liberia,,20 September 2015,Probable,Not available,Not available
2015-11-06,Liberia,,20 September 2015,Suspected,Not available,Not available
2015-11-06,Liberia,,20 September 2015,Total,6,2
2015-11-06,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-11-06,Liberia,,9 May 2015,Probable,1879,Not available
2015-11-06,Liberia,,9 May 2015,Suspected,5636,Not available
2015-11-06,Liberia,,9 May 2015,Total,10666,4806
2015-11-06,Sierra Leone,,4 November 2015,Confirmed,8704,3589
2015-11-06,Sierra Leone,,4 November 2015,Probable,287,208
2015-11-06,Sierra Leone,,4 November 2015,Suspected,5118,158
2015-11-06,Sierra Leone,,4 November 2015,Total,14109,3955
2015-11-06,All countries,,,Confirmed,15212,Not available
2015-11-06,All countries,,,Probable,2619,Not available
2015-11-06,All countries,,,Suspected,10755,Not available
2015-11-06,All countries,,,Total,28586,11299
2015-11-09,Guinea,,7 November 2015,Confirmed,3351,2083
2015-11-09,Guinea,,7 November 2015,Probable,453,453
